#  MJD-58000 counts error  run
 476.27579  27.36   5.98 0
 476.27695  37.12   7.49 0
 476.27811  27.39   6.26 0
 476.27926  33.13   7.59 0
 476.28042  35.20   6.78 0
 476.28158  52.40   9.07 0
 476.28273  25.37   5.83 0
 476.28389  23.43   6.35 0
 476.28505  46.65   7.90 0
 476.28621  25.24   6.09 0
 476.28736  22.60   5.81 0
 476.28852  34.02   6.83 0
 476.28968  21.67   5.45 0
 476.29084  31.17   6.87 0
 476.29199  23.30   5.49 0
 476.29315  42.62   7.65 0
 476.29431  29.57   6.34 0
 476.29547  19.43   5.02 0
 476.29662  37.34   7.32 0
 476.29778  28.73   6.40 0
 476.29894  25.74   6.05 0
 476.30010  25.82   5.77 0
 476.30125  28.71   6.82 0
 476.30241  21.99   5.33 0
 476.30357  27.49   6.56 0
 476.30473  44.23   7.60 0
 476.30588  26.17   5.86 0
 476.30704  28.71   6.14 0
 476.30820  26.48   6.20 0
 476.30936  29.79   6.48 0
 476.31051  29.63   6.45 0
 476.31167  33.52   6.57 0
 476.31283  25.39   6.64 0
 476.31398  17.10   5.08 0
 476.31514  20.69   5.81 0
 476.31630  25.83   5.78 0
 476.31746  31.03   6.33 0
 476.31861  32.25   6.98 0
 476.31977  22.00   5.34 0
 476.32093  25.03   6.31 0
 476.32209  31.11   6.86 0
 476.32324  20.88   5.83 0
 476.32440  27.73   6.87 0
 476.32556  28.42   6.60 0
 476.32672  24.64   5.94 0
 476.32787  32.26   6.71 0
 476.32903  18.11   5.48 0
 476.33019  31.58   6.75 0
 476.33135  19.31   6.12 0
 476.33250  26.11   6.12 0
 476.33366  27.55   6.29 0
 476.33482  18.62   5.62 0
 476.33598  19.44   5.63 0
 476.33713  28.53   6.86 0
 476.33829  28.31   6.62 0
 476.33945  37.25   7.29 0
 476.34061  29.81   6.48 0
 476.34176  19.62   5.07 0
 476.34292  39.88   7.73 0
 476.34408  19.75   6.02 0
 476.34523  20.62   5.48 0
 476.34639  34.43   7.01 0
 476.34755  24.90   5.72 0
 476.34871  31.15   6.62 0
 476.34986  35.91   7.17 0
 476.35102  30.38   7.03 0
 476.35218  30.90   6.31 0
 476.35334  36.69   7.40 0
 476.35449  32.69   6.54 0
 476.35565  27.23   5.94 0
 476.35681  27.41   6.00 0
 476.35797  26.30   5.89 0
 476.35912  46.79   8.35 0
 476.36028  22.66   5.51 0
 476.36144  32.38   6.73 0
 476.36260  31.70   6.74 0
 476.36375  29.81   6.48 0
 476.36491  19.29   4.98 0
 476.36607  39.05   7.13 0
 476.36723  29.84   6.22 0
 476.36838  19.41   5.93 0
 476.36954  26.94   6.57 0
 476.37070  39.42   7.21 0
 476.37186  29.15   6.50 0
 476.37301  28.35   6.56 0
 476.37417  24.60   6.22 0
 476.37533  27.32   6.24 0
 476.37648  29.70   6.45 0
 476.37764  25.89   6.63 0
 476.37880  23.31   6.55 0
 476.37996  29.32   6.28 0
 476.38111  33.68   6.86 0
 476.38227  33.17   7.12 0
 476.38343  42.75   7.66 0
 476.38459  35.15   7.01 0
 476.38574  40.04   7.19 0
 476.38690  36.69   7.42 0
 476.38806  28.47   6.35 0
 476.38922  38.93   7.11 0
 476.39037  57.17   8.62 0
 476.39153  31.27   6.64 0
 476.39269  36.12   6.83 0
 476.39385  49.53   8.26 0
 476.39500  50.81   8.35 0
 476.39616  69.48  10.14 0
 476.39732  63.29   9.41 0
 476.39848  66.33   9.65 0
 476.39963  69.64   9.82 0
 476.40079  91.41  11.19 0
 476.40195  89.73  11.16 0
 476.40311  99.57  11.59 0
 476.40426  86.72  11.08 0
 476.40542 135.66  13.44 0
 476.40658 155.15  14.78 0
 476.40773 151.82  14.69 0
 476.40889 172.77  15.16 0
 476.41005 185.69  15.85 0
 476.41121 231.30  17.89 0
 476.41236 231.08  17.65 0
 476.41352 239.66  17.72 0
 476.41468 221.48  17.81 0
 476.41584 215.48  16.96 0
 476.41699 215.11  16.97 0
 476.41815 208.74  16.92 0
 476.41931 195.19  16.08 0
 476.42047 184.77  15.96 0
 476.42162 185.87  15.70 0
 476.42278 146.37  14.13 0
 476.42394 154.15  14.70 0
 476.42510 137.97  14.32 0
 476.42625  91.13  13.56 0
 476.42741  97.45  12.51 0
 476.42857 102.00  12.49 0
 476.42973 114.53  12.89 0
 476.43088  92.28  12.17 0
 476.43204  74.45  11.36 0
 476.43320  63.12  10.70 0
 476.43436  78.08  10.89 0
 476.43551  65.63  11.31 0
 476.43667  73.95  10.46 0
 476.43783  51.90   8.80 0
 476.43898  49.03   8.89 0
 476.44014  43.18  10.36 0
 476.44130  41.61  10.10 0
 476.44246  62.69   9.59 0
 476.44361  38.81   7.75 0
 476.44477  42.57   7.80 0
 476.44593  46.56   8.70 0
 476.44709  45.26   8.98 0
 476.44824  35.70   7.14 0
 476.44940  33.15   7.34 0
 476.45056  33.48   6.91 0
 476.45172  37.53   6.97 0
 476.45287  32.40   6.65 0
 476.45403  41.28   7.30 0
 476.45519  31.97   7.08 0
 476.45635  40.65   7.31 0
 476.45750  34.16   7.10 0
 476.45866  30.15   6.29 0
 476.45982  55.81   8.51 0
 476.46098  44.30   7.60 0
 476.46213  29.77   6.47 0
 476.46329  41.73   7.38 0
 476.46445  53.11   8.29 0
 476.46561  36.96   7.00 0
 476.46676  27.35   6.25 0
 476.46792  42.68   7.43 0
 476.46908  33.91   6.91 0
 476.47023  50.73   8.13 0
 476.47139  32.89   6.59 0
 476.47255  37.53   7.35 0
 476.47371  30.85   6.46 0
 476.47486  41.50   7.34 0
 476.47602  24.93   6.02 0
 476.47718  46.21   8.07 0
 476.47834  25.03   6.30 0
 476.47949  31.25   6.63 0
 476.48065  37.64   6.99 0
 476.48181  31.44   6.68 0
 476.48297  49.09   8.17 0
 476.48412  38.74   7.07 0
 476.48528  36.02   7.51 0
 476.48644  31.66   6.74 0
 476.48760  34.36   7.36 0
 476.48875  37.33   7.40 0
 476.48991  28.96   6.19 0
 476.49107  42.73   7.66 0
 476.49223  37.32   7.36 0
 476.49338  27.58   6.32 0
 476.49454  38.41   7.39 0
 476.49570  35.24   6.79 0
 476.49686  32.90   9.89 0
 476.49801  39.39   9.93 0
 476.49917  48.33  10.13 0
 476.50033  18.26  10.23 0
 476.50148  36.70   6.94 0
 476.50264  29.58   6.17 0
 476.50380  25.46   6.16 0
 476.50496  37.90   7.57 0
 476.50611  41.11   7.97 0
 476.50727  27.07   6.18 0
 476.50843  35.84   7.38 0
 476.50959  23.80   6.45 0
 476.51074  32.94   6.86 0
 476.51190  33.95   7.14 0
 476.51306  23.33   6.60 0
 476.51422  43.09   7.51 0
 476.51537  38.00   7.49 0
 476.51653  32.34   6.72 0
 476.51769  38.92   7.34 0
 476.51885  35.49   7.09 0
 476.52000  34.06   7.18 0
 476.52116  26.33   6.17 0
 476.52232  46.60   8.27 0
 476.52348  26.29   6.43 0
 476.52463  42.83   7.60 0
 476.52579  36.14   6.83 0
 476.52695  40.48   8.31 0
 476.52811  36.12   8.22 0
 476.52926  36.37   7.36 0
 476.53042  33.64   7.24 0
 476.53158  45.36   7.88 0
 476.53273  42.82   8.13 0
 476.53389  21.16   5.79 0
 476.53505  40.35   7.47 0
 476.53621  33.07   7.12 0
 476.53736  43.36   7.56 0
 476.53852  38.44   7.58 0
 476.53968  42.88   7.60 0
 476.54084  46.21   8.05 0
 476.54199  50.28   8.26 0
 476.54315  46.69   7.79 0
 476.54431  40.48   7.68 0
 476.54547  49.77   8.09 0
 476.54662  46.52   8.55 0
 476.54778  39.91   7.31 0
 476.54894  41.99   7.80 0
 476.55010  47.95   7.88 0
 476.55125  42.84   7.60 0
 476.55241  38.88   7.47 0
 476.55357  29.96   6.69 0
