Time 			Rate 	Error
664003221.4 NaN NaN
664003222.4 0.00000 0.00000
664003223.4 0.00000 0.00000
664003224.4 1.29120 1.29120
664003225.4 0.00000 0.00000
664003226.4 2.63004 1.85972
664003227.4 1.29122 1.29122
664003228.4 0.00000 0.00000
664003229.4 0.00000 0.00000
664003230.4 1.27805 1.27805
664003231.4 0.00000 0.00000
664003232.4 0.00000 0.00000
664003233.4 0.00000 0.00000
664003234.4 3.89378 2.24807
664003235.4 2.58985 1.83130
664003236.4 1.25168 1.25168
664003237.4 1.27409 1.27409
664003238.4 1.37621 1.37621
664003239.4 1.68542 1.68542
664003240.4 0.00000 0.00000
664003241.4 0.00000 0.00000
664003242.4 5.13545 2.56772
664003243.4 0.00000 0.00000
664003244.4 1.27408 1.27408
664003245.4 0.00000 0.00000
664003246.4 1.26975 1.26975
664003247.4 2.50799 1.77342
664003248.4 2.52820 1.78771
664003249.4 2.56718 1.81527
664003250.4 1.29681 1.29681
664003251.4 1.29613 1.29613
664003252.4 2.53149 1.79004
664003253.4 1.28758 1.28758
664003254.4 2.57859 1.82334
664003255.4 0.00000 0.00000
664003256.4 1.29228 1.29228
664003257.4 1.29429 1.29429
664003258.4 -1.31093 1.31093
664003259.4 0.00000 0.00000
664003260.4 1.28063 1.28063
664003261.4 0.00000 0.00000
664003262.4 1.27710 1.27710
664003263.4 1.28396 1.28396
664003264.4 0.00000 0.00000
664003265.4 5.14193 2.57097
664003266.4 0.00000 0.00000
664003267.4 1.29225 1.29225
664003268.4 0.00000 0.00000
664003269.4 2.57603 1.82153
664003270.4 1.28058 1.28058
664003271.4 0.00000 0.00000
664003272.4 1.33053 1.33053
664003273.4 1.32480 1.32480
664003274.4 1.29751 1.29751
664003275.4 1.30591 1.30591
664003276.4 0.00000 0.00000
664003277.4 0.00000 0.00000
664003278.4 0.00000 0.00000
664003279.4 0.00000 0.00000
664003280.4 0.00000 0.00000
664003281.4 0.00000 0.00000
664003282.4 0.00000 0.00000
664003283.4 0.00000 0.00000
664003284.4 0.00000 0.00000
664003285.4 2.54559 1.80001
664003286.4 0.00000 0.00000
664003287.4 1.27359 1.27359
664003288.4 0.00000 0.00000
664003289.4 1.30277 1.30277
664003290.4 2.56570 1.81422
664003291.4 0.00000 0.00000
664003292.4 1.29883 1.29883
664003293.4 1.29612 1.29612
664003294.4 1.30014 1.30014
664003295.4 0.00000 0.00000
664003296.4 1.29390 1.29390
664003297.4 2.57208 1.81874
664003298.4 0.00000 0.00000
664003299.4 1.30167 1.30167
664003300.4 0.00000 0.00000
664003301.4 0.00000 0.00000
664003302.4 1.25490 1.25490
664003303.4 1.28764 1.28764
664003304.4 1.26990 1.26990
664003305.4 1.26160 1.26160
664003306.4 3.30648 2.33804
664003307.4 0.00000 0.00000
664003308.4 1.75123 1.75123
664003309.4 1.35437 1.35437
664003310.4 0.00000 0.00000
664003311.4 0.00000 0.00000
664003312.4 1.26593 1.26593
664003313.4 1.28998 1.28998
664003314.4 1.30657 1.30657
664003315.4 0.00000 0.00000
664003316.4 1.31281 1.31281
664003317.4 1.28858 1.28858
664003318.4 1.29775 1.29775
664003319.4 1.29979 1.29979
664003320.4 -1.29011 1.29011
664003321.4 2.55680 1.80793
664003322.4 0.00000 0.00000
664003323.4 3.83891 2.21640
664003324.4 0.00000 0.00000
664003325.4 2.53332 1.79133
664003326.4 5.09771 2.54885
664003327.4 1.28942 1.28942
664003328.4 1.29747 1.29747
664003329.4 2.63470 1.86302
664003330.4 0.00000 0.00000
664003331.4 1.28011 1.28011
664003332.4 0.00000 0.00000
664003333.4 0.00000 0.00000
664003334.4 1.31370 1.31370
664003335.4 1.31084 1.31084
664003336.4 0.00000 0.00000
664003337.4 1.28627 1.28627
664003338.4 0.00000 0.00000
664003339.4 1.27944 1.27944
664003340.4 1.29613 1.29613
664003341.4 1.29266 1.29266
664003342.4 -1.27985 1.27985
664003343.4 3.82877 2.21054
664003344.4 2.53089 1.78961
664003345.4 0.00000 0.00000
664003346.4 1.31802 1.31802
664003347.4 2.57500 1.82080
664003348.4 1.29033 1.29033
664003349.4 0.00000 0.00000
664003350.4 0.00000 0.00000
664003351.4 3.81854 2.20464
664003352.4 2.55644 1.80768
664003353.4 1.28864 1.28864
664003354.4 0.00000 0.00000
664003355.4 1.28787 1.28787
664003356.4 1.28830 1.28830
664003357.4 0.00000 0.00000
664003358.4 0.00000 0.00000
664003359.4 1.29939 1.29939
664003360.4 1.29059 1.29059
664003361.4 1.25614 1.25614
664003362.4 0.00000 0.00000
664003363.4 1.27845 1.27845
664003364.4 1.29480 1.29480
664003365.4 2.58653 1.82895
664003366.4 1.28676 1.28676
664003367.4 0.00000 0.00000
664003368.4 2.56553 1.81411
664003369.4 2.53297 1.79108
664003370.4 0.00000 0.00000
664003371.4 0.00000 0.00000
664003372.4 2.54636 1.80055
664003373.4 3.86473 2.23130
664003374.4 5.06686 2.53343
664003375.4 1.26583 1.26583
664003376.4 0.00000 0.00000
664003377.4 1.29405 1.29405
664003378.4 2.57706 1.82226
664003379.4 1.40631 1.40631
664003380.4 0.00000 0.00000
664003381.4 2.73443 1.93353
664003382.4 1.25690 1.25690
664003383.4 0.00000 0.00000
664003384.4 1.32910 1.32910
664003385.4 1.30883 1.30883
664003386.4 1.28826 1.28826
664003387.4 1.28293 1.28293
664003388.4 1.26595 1.26595
664003389.4 1.27840 1.27840
664003390.4 0.00000 0.00000
664003391.4 0.00000 0.00000
664003392.4 2.55643 1.80767
664003393.4 6.36348 2.84584
664003394.4 1.29334 1.29334
664003395.4 1.29685 1.29685
664003396.4 1.26937 1.26937
664003397.4 0.00000 0.00000
664003398.4 3.80269 2.19549
664003399.4 1.28430 1.28430
664003400.4 0.00000 0.00000
664003401.4 1.26867 1.26867
664003402.4 1.28201 1.28201
664003403.4 0.00000 0.00000
664003404.4 0.00000 0.00000
664003405.4 0.00000 0.00000
664003406.4 0.00000 0.00000
664003407.4 1.27424 1.27424
664003408.4 2.60180 1.83975
664003409.4 0.00000 0.00000
664003410.4 0.00000 0.00000
664003411.4 2.60560 1.84244
664003412.4 0.00000 0.00000
664003413.4 2.56396 1.81299
664003414.4 0.00000 0.00000
664003415.4 2.53608 1.79328
664003416.4 0.00000 0.00000
664003417.4 1.29203 1.29203
664003418.4 0.00000 0.00000
664003419.4 2.64250 1.86853
664003420.4 0.00000 0.00000
664003421.4 1.27515 1.27515
664003422.4 1.28745 1.28745
664003423.4 1.28224 1.28224
664003424.4 0.00000 0.00000
664003425.4 1.28698 1.28698
664003426.4 2.55965 1.80994
664003427.4 0.00000 0.00000
664003428.4 3.86885 2.23368
664003429.4 1.29485 1.29485
664003430.4 1.31038 1.31038
664003431.4 1.28786 1.28786
664003432.4 3.90928 2.25703
664003433.4 3.92324 2.26508
664003434.4 0.00000 0.00000
664003435.4 3.85482 2.22558
664003436.4 0.00000 0.00000
664003437.4 1.29551 1.29551
664003438.4 2.58891 1.83064
664003439.4 0.00000 0.00000
664003440.4 2.63917 1.86617
664003441.4 0.00000 0.00000
664003442.4 5.23246 2.61623
664003443.4 0.00000 0.00000
664003444.4 1.32322 1.32322
664003445.4 1.29824 1.29824
664003446.4 2.57954 1.82401
664003447.4 1.25615 1.25615
664003448.4 2.52449 1.78509
664003449.4 1.28861 1.28861
664003450.4 3.84937 2.22244
664003451.4 1.30167 1.30167
664003452.4 2.62846 1.85860
664003453.4 1.30086 1.30086
664003454.4 1.30503 1.30503
664003455.4 2.57415 1.82020
664003456.4 1.27109 1.27109
664003457.4 3.84861 2.22200
664003458.4 0.00000 0.00000
664003459.4 1.28683 1.28683
664003460.4 1.30404 1.30404
664003461.4 2.62238 1.85430
664003462.4 2.58663 1.82902
664003463.4 0.00000 0.00000
664003464.4 0.00000 0.00000
664003465.4 0.00000 0.00000
664003466.4 2.55000 1.80312
664003467.4 0.00000 0.00000
664003468.4 0.00000 0.00000
664003469.4 1.26684 1.26684
664003470.4 1.28215 1.28215
664003471.4 3.92089 2.26373
664003472.4 1.27922 1.27922
664003473.4 3.86607 2.23208
664003474.4 2.57284 1.81927
664003475.4 1.30072 1.30072
664003476.4 1.30592 1.30592
664003477.4 0.00000 0.00000
664003478.4 0.00000 0.00000
664003479.4 0.00000 0.00000
664003480.4 1.27336 1.27336
664003481.4 1.30204 1.30204
664003482.4 0.00000 0.00000
664003483.4 1.29233 1.29233
664003484.4 0.00000 0.00000
664003485.4 1.30998 1.30998
664003486.4 0.00000 0.00000
664003487.4 1.31724 1.31724
664003488.4 2.60910 1.84491
664003489.4 0.00000 0.00000
664003490.4 0.00000 0.00000
664003491.4 1.40275 1.40275
664003492.4 0.00000 0.00000
664003493.4 2.56275 1.81214
664003494.4 0.00000 0.00000
664003495.4 1.29196 1.29196
664003496.4 2.53079 1.78954
664003497.4 0.00000 0.00000
664003498.4 1.60227 1.60227
664003499.4 5.18185 2.59093
664003500.4 0.00000 0.00000
664003501.4 1.29768 1.29768
664003502.4 3.90402 2.25399
664003503.4 2.64039 1.86704
664003504.4 3.92595 2.26665
664003505.4 1.30756 1.30756
664003506.4 0.00000 0.00000
664003507.4 0.00000 0.00000
664003508.4 -1.31887 1.31887
664003509.4 3.82712 2.20959
664003510.4 -1.27263 1.27263
664003511.4 1.29754 1.29754
664003512.4 5.09656 2.94250
664003513.4 1.73672 1.73672
664003514.4 0.00000 0.00000
664003515.4 1.40802 1.40802
664003516.4 0.00000 0.00000
664003517.4 3.87145 2.23518
664003518.4 3.78926 2.18773
664003519.4 2.56862 1.81629
664003520.4 0.00000 0.00000
664003521.4 0.00000 0.00000
664003522.4 1.29104 1.29104
664003523.4 0.00000 0.00000
664003524.4 1.34596 1.34596
664003525.4 0.00000 0.00000
664003526.4 2.59285 1.83342
664003527.4 1.29642 1.29642
664003528.4 2.56814 1.81595
664003529.4 3.81040 2.19994
664003530.4 2.62381 1.85531
664003531.4 2.56771 1.81565
664003532.4 3.80238 2.19530
664003533.4 0.00000 0.00000
664003534.4 1.25711 1.25711
664003535.4 1.27147 1.27147
664003536.4 0.00000 0.00000
664003537.4 1.28932 1.28932
664003538.4 0.00000 0.00000
664003539.4 1.28204 1.28204
664003540.4 2.54616 1.80041
664003541.4 1.28066 1.28066
664003542.4 0.00000 0.00000
664003543.4 3.93083 2.26947
664003544.4 3.89793 2.25047
664003545.4 1.27467 1.27467
664003546.4 1.30132 1.30132
664003547.4 2.62206 1.85408
664003548.4 2.60554 1.84239
664003549.4 1.27011 1.27011
664003550.4 0.00000 0.00000
664003551.4 3.80154 2.19482
664003552.4 0.00000 0.00000
664003553.4 2.57964 1.82408
664003554.4 3.92428 2.26569
664003555.4 2.60409 1.84137
664003556.4 3.90394 2.25394
664003557.4 1.31031 1.31031
664003558.4 1.29382 1.29382
664003559.4 0.00000 0.00000
664003560.4 2.59444 1.83454
664003561.4 1.30282 1.30282
664003562.4 1.28082 1.28082
664003563.4 2.56924 1.81673
664003564.4 2.58392 1.82710
664003565.4 1.70826 1.70826
664003566.4 1.50923 1.50923
664003567.4 2.54667 1.80077
664003568.4 0.00000 0.00000
664003569.4 0.00000 0.00000
664003570.4 2.54402 1.79889
664003571.4 1.29621 1.29621
664003572.4 2.56095 1.81087
664003573.4 3.84564 2.22028
664003574.4 0.00000 0.00000
664003575.4 1.26711 1.26711
664003576.4 1.27629 1.27629
664003577.4 1.27876 1.27876
664003578.4 3.88502 2.24302
664003579.4 1.32366 1.32366
664003580.4 1.31048 1.31048
664003581.4 2.62301 1.85474
664003582.4 1.31024 1.31024
664003583.4 1.30525 1.30525
664003584.4 1.30734 1.30734
664003585.4 0.00000 0.00000
664003586.4 5.09067 2.54533
664003587.4 1.31659 1.31659
664003588.4 0.00000 0.00000
664003589.4 0.00000 0.00000
664003590.4 2.56950 1.81691
664003591.4 2.54032 1.79628
664003592.4 1.28094 1.28094
664003593.4 1.28978 1.28978
664003594.4 1.26951 1.26951
664003595.4 2.54582 1.80016
664003596.4 1.28570 1.28570
664003597.4 0.00000 0.00000
664003598.4 1.29587 1.29587
664003599.4 1.33658 1.33658
664003600.4 0.00000 0.00000
664003601.4 4.08756 2.35995
664003602.4 3.41419 2.41420
664003603.4 4.35764 2.51588
664003604.4 0.00000 0.00000
664003605.4 1.64568 1.64568
664003606.4 3.11636 2.20360
664003607.4 0.00000 0.00000
664003608.4 0.00000 0.00000
664003609.4 0.00000 0.00000
664003610.4 1.27373 1.27373
664003611.4 1.30654 1.30654
664003612.4 1.30509 1.30509
664003613.4 0.00000 0.00000
664003614.4 1.73764 1.73764
664003615.4 2.56334 1.81256
664003616.4 1.28399 1.28399
664003617.4 1.30650 1.30650
664003618.4 1.26392 1.26392
664003619.4 1.29223 1.29223
664003620.4 2.59632 1.83587
664003621.4 5.06697 2.53349
664003622.4 0.00000 0.00000
