Time 			Rate 	Error
58528.6930764498829 0 0.0000000
58528.6934236721063 0 0.0000000
58528.6937708943296 0 0.0000000
58528.6941181165530 0 0.0000000
58528.6944653387764 0 0.0000000
58528.6948125609924 0 0.0000000
58528.6951597832158 0 0.0000000
58528.6955070054391 0 0.0000000
58528.6958542276625 0 0.0000000
58528.6962014498858 0 0.0000000
58528.6965486721019 0 0.0000000
58528.6968958943253 0 0.0000000
58528.6972431165486 0 0.0000000
58528.6975903387720 0 0.0000000
58528.6979375609953 0 0.0000000
58528.6982847832187 0 0.0000000
58528.6986320054421 0 0.0000000
58528.6989792276581 0 0.0000000
58528.6993264498815 0 0.0000000
58528.6996736721048 0 0.0000000
58528.7000208943282 0 0.0000000
58528.7003681165515 0 0.0000000
58528.7007153387749 0 0.0000000
58528.7010625609983 0 0.0000000
58528.7014097832143 0 0.0000000
58528.7017570054377 0 0.0000000
58528.7021042276610 0 0.0000000
58528.7024514498844 0 0.0000000
58528.7027986721077 0 0.0000000
58528.7031458943311 0 0.0000000
58528.7034931165545 0 0.0000000
58528.7038403387705 0 0.0000000
58528.7041875609939 1 1.0000000
58528.7045347832172 0 0.0000000
58528.7048820054406 0 0.0000000
58528.7052292276639 0 0.0000000
58528.7055764498800 0 0.0000000
58528.7059236721034 0 0.0000000
58528.7062708943267 0 0.0000000
58528.7066181165501 0 0.0000000
58528.7069653387734 0 0.0000000
58528.7073125609968 1 1.0000000
58528.7076597832202 0 0.0000000
58528.7080070054362 1 1.0000000
58528.7083542276596 0 0.0000000
58528.7087014498829 0 0.0000000
58528.7090486721063 0 0.0000000
58528.7093958943296 0 0.0000000
58528.7097431165530 0 0.0000000
58528.7100903387764 0 0.0000000
58528.7104375609924 0 0.0000000
58528.7107847832158 0 0.0000000
58528.7111320054391 0 0.0000000
58528.7114792276625 0 0.0000000
58528.7118264498858 0 0.0000000
58528.7121736721019 0 0.0000000
58528.7125208943253 0 0.0000000
58528.7128681165486 0 0.0000000
58528.7132153387720 0 0.0000000
58528.7135625609953 0 0.0000000
58528.7139097832187 0 0.0000000
58528.7142570054421 0 0.0000000
58528.7146042276581 0 0.0000000
58528.7149514498815 0 0.0000000
58528.7152986721048 0 0.0000000
58528.7156458943282 0 0.0000000
58528.7159931165515 0 0.0000000
58528.7163403387749 0 0.0000000
58528.7166875609983 0 0.0000000
58528.7170347832143 0 0.0000000
58528.7173820054377 0 0.0000000
58528.7177292276610 0 0.0000000
58528.7180764498844 0 0.0000000
58528.7184236721077 1 1.0000000
58528.7187708943311 0 0.0000000
58528.7191181165545 0 0.0000000
58528.7194653387705 0 0.0000000
58528.7198125609939 1 1.0000000
58528.7201597832172 0 0.0000000
58528.7205070054406 0 0.0000000
58528.7208542276639 2 1.4142136
58528.7212014498800 1 1.0000000
58528.7215486721034 1 1.0000000
58528.7218958943267 1 1.0000000
58528.7222431165501 2 1.4142136
58528.7225903387734 2 1.4142136
58528.7229375609968 1 1.0000000
58528.7232847832202 0 0.0000000
58528.7236320054362 2 1.4142136
58528.7239792276596 0 0.0000000
58528.7243264498829 1 1.0000000
58528.7246736721063 1 1.0000000
58528.7250208943296 2 1.4142136
58528.7253681165530 3 1.7320508
58528.7257153387764 2 1.4142136
58528.7260625609924 1 1.0000000
58528.7264097832158 1 1.0000000
58528.7267570054391 4 2.0000000
58528.7271042276625 1 1.0000000
58528.7274514498858 1 1.0000000
58528.7277986721019 1 1.0000000
58528.7281458943253 2 1.4142136
58528.7284931165486 1 1.0000000
58528.7288403387720 0 0.0000000
58528.7291875609953 1 1.0000000
58528.7295347832187 1 1.0000000
58528.7298820054421 1 1.0000000
58528.7302292276581 0 0.0000000
58528.7305764498815 2 1.4142136
58528.7309236721048 3 1.7320508
58528.7312708943282 3 1.7320508
58528.7316181165515 0 0.0000000
58528.7319653387749 5 2.2360680
58528.7323125609983 2 1.4142136
58528.7326597832143 3 1.7320508
58528.7330070054377 0 0.0000000
58528.7333542276610 2 1.4142136
58528.7337014498844 2 1.4142136
58528.7340486721077 1 1.0000000
58528.7343958943311 1 1.0000000
58528.7347431165545 0 0.0000000
58528.7350903387705 1 1.0000000
58528.7354375609939 4 2.0000000
58528.7357847832172 2 1.4142136
58528.7361320054406 1 1.0000000
58528.7364792276639 1 1.0000000
58528.7368264498800 1 1.0000000
58528.7371736721034 1 1.0000000
58528.7375208943267 3 1.7320508
58528.7378681165501 1 1.0000000
58528.7382153387734 2 1.4142136
58528.7385625609968 0 0.0000000
58528.7389097832202 3 1.7320508
58528.7392570054362 3 1.7320508
58528.7396042276596 3 1.7320508
58528.7399514498829 3 1.7320508
58528.7402986721063 4 2.0000000
58528.7406458943296 1 1.0000000
58528.7409931165530 1 1.0000000
58528.7413403387764 0 0.0000000
58528.7416875609924 0 0.0000000
58528.7420347832158 0 0.0000000
58528.7423820054391 0 0.0000000
58528.7427292276625 0 0.0000000
58528.7430764498858 0 0.0000000
58528.7434236721019 1 1.0000000
58528.7437708943253 0 0.0000000
58528.7441181165486 2 1.4142136
58528.7444653387720 1 1.0000000
58528.7448125609953 1 1.0000000
58528.7451597832187 0 0.0000000
58528.7455070054421 0 0.0000000
58528.7458542276581 0 0.0000000
58528.7462014498815 0 0.0000000
58528.7465486721048 0 0.0000000
58528.7468958943282 1 1.0000000
58528.7472431165515 1 1.0000000
58528.7475903387749 1 1.0000000
58528.7479375609983 1 1.0000000
58528.7482847832143 0 0.0000000
58528.7486320054377 1 1.0000000
58528.7489792276610 1 1.0000000
58528.7493264498844 0 0.0000000
58528.7496736721077 2 1.4142136
58528.7500208943311 1 1.0000000
58528.7503681165545 1 1.0000000
58528.7507153387705 0 0.0000000
58528.7510625609939 0 0.0000000
58528.7514097832172 0 0.0000000
58528.7517570054406 1 1.0000000
58528.7521042276639 1 1.0000000
58528.7524514498800 0 0.0000000
58528.7527986721034 1 1.0000000
58528.7531458943267 0 0.0000000
58528.7534931165501 0 0.0000000
58528.7538403387734 0 0.0000000
58528.7541875609968 0 0.0000000
58528.7545347832202 1 1.0000000
58528.7548820054362 0 0.0000000
58528.7552292276596 0 0.0000000
58528.7555764498829 0 0.0000000
58528.7559236721063 0 0.0000000
58528.7562708943296 0 0.0000000
58528.7566181165530 0 0.0000000
58528.7569653387764 0 0.0000000
58528.7573125609924 0 0.0000000
58528.7576597832158 0 0.0000000
58528.7580070054391 1 1.0000000
58528.7583542276625 0 0.0000000
58528.7587014498858 0 0.0000000
58528.7590486721019 0 0.0000000
58528.7593958943253 0 0.0000000
58528.7597431165486 0 0.0000000
58528.7600903387720 0 0.0000000
58528.7604375609953 0 0.0000000
58528.7607847832187 1 1.0000000
58528.7611320054421 0 0.0000000
58528.7614792276581 0 0.0000000
58528.7618264498815 1 1.0000000
58528.7621736721048 0 0.0000000
58528.7625208943282 0 0.0000000
58528.7628681165515 0 0.0000000
58528.7632153387749 0 0.0000000
58528.7635625609983 1 1.0000000
58528.7639097832143 0 0.0000000
58528.7642570054377 0 0.0000000
58528.7646042276610 0 0.0000000
58528.7649514498844 0 0.0000000
58528.7652986721077 0 0.0000000
58528.7656458943311 0 0.0000000
58528.7659931165545 0 0.0000000
58528.7663403387705 0 0.0000000
58528.7666875609939 0 0.0000000
58528.7670347832172 0 0.0000000
58528.7673820054406 0 0.0000000
58528.7677292276639 0 0.0000000
58528.7680764498800 0 0.0000000
58528.7684236721034 0 0.0000000
58528.7687708943267 0 0.0000000
58528.7691181165501 1 1.0000000
58528.7694653387734 0 0.0000000
58528.7698125609968 0 0.0000000
58528.7701597832202 0 0.0000000
58528.7705070054362 0 0.0000000
58528.7708542276596 0 0.0000000
58528.7712014498829 0 0.0000000
58528.7715486721063 0 0.0000000
58528.7718958943296 0 0.0000000
58528.7722431165530 0 0.0000000
58528.7725903387764 0 0.0000000
58528.7729375609924 0 0.0000000
58528.7732847832158 0 0.0000000
58528.7736320054391 0 0.0000000
58528.7739792276625 0 0.0000000
58528.7743264498858 0 0.0000000
58528.7746736721019 0 0.0000000
58528.7750208943253 0 0.0000000
58528.7753681165486 0 0.0000000
58528.7757153387720 0 0.0000000
58528.7760625609953 0 0.0000000
58528.7764097832187 0 0.0000000
58528.7767570054421 0 0.0000000
58528.7771042276581 0 0.0000000
58528.7774514498815 0 0.0000000
58528.7777986721048 0 0.0000000
58528.7781458943282 0 0.0000000
58528.7784931165515 0 0.0000000
58528.7788403387749 0 0.0000000
58528.7791875609983 0 0.0000000
58528.7795347832143 0 0.0000000
58528.7798820054377 1 1.0000000
58528.7802292276610 0 0.0000000
58528.7805764498844 0 0.0000000
58528.7809236721077 0 0.0000000
58528.7812708943311 0 0.0000000
58528.7816181165545 0 0.0000000
58528.7819653387705 0 0.0000000
58528.7823125609939 0 0.0000000
58528.7826597832172 0 0.0000000
58528.7830070054406 0 0.0000000
58528.7833542276639 0 0.0000000
58528.7837014498800 0 0.0000000
58528.7840486721034 0 0.0000000
58528.7843958943267 0 0.0000000
58528.7847431165501 0 0.0000000
58528.7850903387734 0 0.0000000
58528.7854375609968 1 1.0000000
58528.7857847832202 0 0.0000000
58528.7861320054362 0 0.0000000
58528.7864792276596 0 0.0000000
58528.7868264498829 0 0.0000000
58528.7871736721063 0 0.0000000
58528.7875208943296 0 0.0000000
58528.7878681165530 0 0.0000000
58528.7882153387764 0 0.0000000
58528.7885625609924 0 0.0000000
58528.7889097832158 0 0.0000000
58528.7892570054391 0 0.0000000
58528.7896042276625 0 0.0000000
58528.7899514498858 0 0.0000000
58528.7902986721019 0 0.0000000
58528.7906458943253 0 0.0000000
58528.7909931165486 0 0.0000000
58528.7913403387720 0 0.0000000
58528.7916875609953 0 0.0000000
58528.7920347832187 0 0.0000000
58528.7923820054421 1 1.0000000
58528.7927292276581 0 0.0000000
58528.7930764498815 0 0.0000000
58528.7934236721048 0 0.0000000
58528.7937708943282 0 0.0000000
58528.7941181165515 1 1.0000000
58528.7944653387749 0 0.0000000
58528.7948125609983 0 0.0000000
58528.7951597832143 0 0.0000000
58528.7955070054377 0 0.0000000
58528.7958542276610 0 0.0000000
58528.7962014498844 0 0.0000000
58528.7965486721077 0 0.0000000
58528.7968958943311 0 0.0000000
58528.7972431165545 0 0.0000000
58528.7975903387705 0 0.0000000
58528.7979375609939 0 0.0000000
58528.7982847832172 0 0.0000000
58528.7986320054406 0 0.0000000
58528.7989792276639 0 0.0000000
58528.7993264498800 0 0.0000000
58528.7996736721034 1 1.0000000
58528.8000208943267 0 0.0000000
58528.8003681165501 0 0.0000000
58528.8007153387734 0 0.0000000
58528.8010625609968 0 0.0000000
58528.8014097832202 0 0.0000000
58528.8017570054362 0 0.0000000
58528.8021042276596 0 0.0000000
58528.8024514498829 0 0.0000000
58528.8027986721063 0 0.0000000
58528.8031458943296 0 0.0000000
58528.8034931165530 0 0.0000000
58528.8038403387764 0 0.0000000
58528.8041875609924 0 0.0000000
58528.8045347832158 0 0.0000000
58528.8048820054391 0 0.0000000
58528.8052292276625 0 0.0000000
58528.8055764498858 0 0.0000000
58528.8059236721019 0 0.0000000
58528.8062708943253 0 0.0000000
58528.8066181165486 0 0.0000000
58528.8069653387720 0 0.0000000
58528.8073125609953 0 0.0000000
58528.8076597832187 0 0.0000000
58528.8080070054421 0 0.0000000
58528.8083542276581 0 0.0000000
58528.8087014498815 0 0.0000000
58528.8090486721048 0 0.0000000
58528.8093958943282 0 0.0000000
58528.8097431165515 0 0.0000000
58528.8100903387749 0 0.0000000
58528.8104375609983 0 0.0000000
58528.8107847832143 0 0.0000000
58528.8111320054377 0 0.0000000
58528.8114792276610 0 0.0000000
58528.8118264498844 0 0.0000000
58528.8121736721077 0 0.0000000
58528.8125208943311 0 0.0000000
58528.8128681165545 0 0.0000000
58528.8132153387705 0 0.0000000
58528.8135625609939 1 1.0000000
58528.8139097832172 0 0.0000000
58528.8142570054406 0 0.0000000
58528.8146042276639 0 0.0000000
58528.8149514498800 0 0.0000000
58528.8152986721034 0 0.0000000
58528.8156458943267 0 0.0000000
58528.8159931165501 0 0.0000000
58528.8163403387734 0 0.0000000
58528.8166875609968 0 0.0000000
58528.8170347832202 0 0.0000000
58528.8173820054362 0 0.0000000
58528.8177292276596 0 0.0000000
58528.8180764498829 0 0.0000000
